,sentence_id,word,pos,tag
0,1,1,LS,O
1,1,.,.,O
2,2,a,DT,O
3,2,master,NN,B-Qualification
4,2,'s,POS,I-Qualification
5,2,degree,NN,I-Qualification
6,2,from,IN,O
7,2,a,DT,O
8,2,accredited,JJ,O
9,2,college,NN,O
10,2,or,CC,O
11,2,university,NN,O
12,2,",",",",O
13,2,accredite,VBN,O
14,2,by,IN,O
15,2,regional,JJ,O
16,2,",",",",O
17,2,national,JJ,O
18,2,",",",",O
19,2,professional,JJ,B-Skill
20,2,or,CC,O
21,2,specialized,JJ,O
22,2,agency,NNS,O
23,2,recognize,VBN,O
24,2,as,IN,O
25,2,accrediting,NN,O
26,2,body,NNS,O
27,2,by,IN,O
28,2,the,DT,O
29,2,U.S.,NNP,O
30,2,Secretaryof,NNP,O
31,2,Education,NNP,O
32,2,and,CC,O
33,2,the,DT,O
34,2,Council,NNP,O
35,2,for,IN,O
36,2,Higher,NNP,O
37,2,Education,NNP,O
38,2,Accreditation,NNP,O
39,2,(,-LRB-,O
40,2,CHEA,NNP,O
41,2,),-RRB-,O
42,2,in,IN,O
43,2,economics,NNS,B-Skill
44,2,",",",",O
45,2,finance,NN,B-Domain
46,2,",",",",O
47,2,accounting,NN,B-Skill
48,2,",",",",O
49,2,business,NN,B-Skill
50,2,or,CC,I-Skill
51,2,public,JJ,I-Skill
52,2,administration,NN,I-Skill
53,2,",",",",O
54,2,human,JJ,B-Skill
55,2,resource,NNS,I-Skill
56,2,management,NN,I-Skill
57,2,",",",",O
58,2,management,NN,B-Skill
59,2,science,NN,I-Skill
60,2,",",",",O
61,2,operation,NNS,B-Skill
62,2,research,NN,I-Skill
63,2,",",",",O
64,2,organizational,JJ,B-Skill
65,2,behavior,NN,I-Skill
66,2,",",",",O
67,2,industrial,JJ,B-Skill
68,2,psychology,NN,I-Skill
69,2,",",",",O
70,2,statistic,NNS,B-Skill
71,2,",",",",O
72,2,personnel,NN,B-Skill
73,2,administration,NN,I-Skill
74,2,",",",",O
75,2,labor,NN,O
76,2,relation,NNS,O
77,2,",",",",O
78,2,psychology,NN,B-Domain
79,2,",",",",O
80,2,sociology,NN,B-Domain
81,2,",",",",O
82,2,human,JJ,B-Skill
83,2,resource,NNS,I-Skill
84,2,development,NN,I-Skill
85,2,",",",",O
86,2,political,JJ,B-Skill
87,2,science,NN,I-Skill
88,2,",",",",O
89,2,urban,JJ,O
90,2,study,NNS,O
91,2,or,CC,O
92,2,a,DT,O
93,2,closely,RB,B-Skill
94,2,relate,VBN,I-Skill
95,2,field,NN,I-Skill
96,2,",",",",O
97,2,and,CC,O
98,2,one,CD,O
99,2,year,NN,O
100,2,of,IN,O
101,2,satisfactory,JJ,O
102,2,full,JJ,O
103,2,-,HYPH,O
104,2,time,NN,O
105,2,professional,JJ,O
106,2,experience,NN,O
107,2,in,IN,O
108,2,one,CD,O
109,2,or,CC,O
110,2,a,DT,O
111,2,combination,NN,O
112,2,of,IN,O
113,2,the,DT,O
114,2,follow,VBG,O
115,2,:,:,O
116,2,work,VBG,B-Skill
117,2,with,IN,I-Skill
118,2,the,DT,I-Skill
119,2,budget,NN,I-Skill
120,2,of,IN,I-Skill
121,2,a,DT,I-Skill
122,2,large,JJ,I-Skill
123,2,public,JJ,I-Skill
124,2,or,CC,I-Skill
125,2,private,JJ,I-Skill
126,2,concern,NN,I-Skill
127,2,in,IN,I-Skill
128,2,budget,NN,I-Skill
129,2,administration,NN,I-Skill
130,2,",",",",O
131,2,accounting,NN,B-Skill
132,2,",",",",O
133,2,economic,JJ,O
134,2,or,CC,O
135,2,financial,JJ,B-Skill
136,2,administration,NN,I-Skill
137,2,",",",",O
138,2,or,CC,O
139,2,fiscal,JJ,B-Skill
140,2,or,CC,I-Skill
141,2,economic,JJ,I-Skill
142,2,research,NN,I-Skill
143,2,;,",",O
144,2,or,CC,O
145,2,in,IN,O
146,2,management,NN,B-Skill
147,2,or,CC,I-Skill
148,2,method,NNS,I-Skill
149,2,analysis,NN,I-Skill
150,2,",",",",O
151,2,operation,NNS,B-Skill
152,2,research,NN,I-Skill
153,2,",",",",O
154,2,organizational,JJ,B-Skill
155,2,research,NN,I-Skill
156,2,or,CC,I-Skill
157,2,program,NN,I-Skill
158,2,evaluation,NN,I-Skill
159,2,;,",",O
160,2,or,CC,O
161,2,in,IN,O
162,2,personnel,NN,O
163,2,or,CC,O
164,2,public,JJ,B-Skill
165,2,administration,NN,I-Skill
166,2,",",",",O
167,2,recruitment,NN,B-Domain
168,2,",",",",O
169,2,position,NN,O
170,2,classification,NN,O
171,2,",",",",O
172,2,personnel,NN,O
173,2,relation,NNS,O
174,2,",",",",O
175,2,labor,NN,O
176,2,relation,NNS,O
177,2,",",",",O
178,2,employee,NN,O
179,2,benefit,NNS,O
180,2,",",",",O
181,2,staff,NN,B-Skill
182,2,development,NN,I-Skill
183,2,",",",",O
184,2,employment,NN,O
185,2,program,NN,O
186,2,planning,NN,B-Skill
187,2,/,",",O
188,2,administration,NN,B-Skill
189,2,",",",",O
190,2,labor,NN,B-Skill
191,2,market,NN,I-Skill
192,2,research,NN,I-Skill
193,2,",",",",O
194,2,economic,JJ,B-Skill
195,2,planning,NN,I-Skill
196,2,",",",",O
197,2,social,JJ,B-Skill
198,2,service,NNS,I-Skill
199,2,program,NN,I-Skill
200,2,planning,NN,I-Skill
201,2,/,",",O
202,2,evaluation,NN,B-Skill
203,2,",",",",O
204,2,or,CC,O
205,2,fiscal,JJ,B-Skill
206,2,management,NN,I-Skill
207,2,;,",",O
208,2,or,CC,O
209,2,in,IN,O
210,2,a,DT,O
211,2,related,JJ,O
212,2,area,NN,O
213,2,;,",",O
214,2,or,CC,O
215,2,2,LS,O
216,2,.,.,O
217,3,a,DT,O
218,3,baccalaureate,NN,B-Qualification
219,3,degree,NN,I-Qualification
220,3,from,IN,O
221,3,a,DT,O
222,3,accredited,JJ,O
223,3,college,NN,O
224,3,or,CC,O
225,3,university,NN,O
226,3,",",",",O
227,3,accredite,VBN,O
228,3,by,IN,O
229,3,regional,JJ,O
230,3,",",",",O
231,3,national,JJ,O
232,3,",",",",O
233,3,professional,JJ,B-Skill
234,3,or,CC,O
235,3,specialized,JJ,O
236,3,agency,NNS,O
237,3,recognize,VBN,O
238,3,as,IN,O
239,3,accrediting,NN,O
240,3,body,NNS,O
241,3,by,IN,O
242,3,the,DT,O
243,3,U.S.,NNP,O
244,3,Secretaryof,NNP,O
245,3,Education,NNP,O
246,3,and,CC,O
247,3,the,DT,O
248,3,Council,NNP,O
249,3,for,IN,O
250,3,Higher,NNP,O
251,3,Education,NNP,O
252,3,Accreditation,NNP,O
253,3,(,-LRB-,O
254,3,CHEA,NNP,O
255,3,),-RRB-,O
256,3,and,CC,O
257,3,three,CD,O
258,3,year,NNS,O
259,3,of,IN,O
260,3,satisfactory,JJ,O
261,3,full,JJ,O
262,3,-,HYPH,O
263,3,time,NN,O
264,3,professional,JJ,O
265,3,experience,NN,O
266,3,in,IN,O
267,3,the,DT,O
268,3,area,NNS,O
269,3,describe,VBN,O
270,3,in,IN,O
271,3,<UNK>,$,O
272,3,1,CD,O
273,3,above,RB,O
274,3,.,.,O
275,4,project,NN,B-Skill
276,4,management,NN,I-Skill
277,4,experience,NN,I-Skill
278,4,and,CC,O
279,4,expertise,NN,O
280,4,be,VBZ,O
281,4,a,DT,O
282,4,plus,NN,O
283,4,.,.,O
284,5,self,NN,B-Skill
285,5,-,HYPH,I-Skill
286,5,starter,NN,I-Skill
287,5,;,",",O
288,5,work,VBZ,B-Skill
289,5,independently,RB,I-Skill
290,5,and,CC,O
291,5,well,RB,O
292,5,with,IN,O
293,5,other,NNS,O
294,5,across,IN,O
295,5,team,NNS,O
296,5,and,CC,O
297,5,at,IN,O
298,5,all,DT,O
299,5,level,NNS,O
300,5,of,IN,O
301,5,the,DT,O
302,5,organization,NN,O
303,5,.,.,O
304,6,excellent,JJ,O
305,6,organizational,JJ,O
306,6,skill,NNS,O
307,6,.problem,NN,O
308,6,solve,VB,O
309,6,",",",",O
310,6,and,CC,O
